[x][x]Our Belief[x][x],,95,[x][x]Our Belief[x][x],[x][x]ความเชื่อของเรา[x][x]
[x][x]Why are we doing this?[x][x],,95,[x][x]Why are we doing this?[x][x],[x][x]ทำไมเราถึงทำสิ่งนี้?[x][x]
"[g>Our belief is that together, through the power of our brands, we can unite our actions to deliver impactful change and be a force for better, for our people, planet and business ecosystem.<g]",,95,"[g>Our belief is that together, through the power of our brands, we can unite our actions to deliver impactful change and be a force for better, for our people, planet and business ecosystem.<g]",[g>เราเชื่อว่า ด้วยพลังของแบรนด์ของเรา เราสามารถรวมพลังการกระทำของเราเพื่อสร้างการเปลี่ยนแปลงที่มีผลกระทบ และเป็นพลังที่ดีขึ้น สำหรับผู้คน โลกใบนี้ และระบบนิเวศทางธุรกิจของเรา<g]
"[g>This strategy aims to benefit our business, the people, and the planet.<g]",,95,"[g>This strategy aims to benefit our business, the people, and the planet.<g]",[g>กลยุทธ์นี้มีเป้าหมายเพื่อให้เกิดประโยชน์ต่อธุรกิจ ผู้คน และโลกใบนี้ของเรา<g]
[g>Click to reveal our targets for 2025:<g],,95,[g>Click to reveal our targets for 2025:<g],[g>คลิกเพื่อดูเป้าหมายของเราสำหรับปี 2025:<g]
"[g>Working towards 100% responsibly sourced green coffee, tea and palm oil<g]",,94,"[g>Working towards 100% responsibly sourced green coffee, tea and palm oil<g]",[g>มุ่งสู่การจัดหากาแฟเขียว ชา และน้ำมันปาล์มที่มาจากแหล่งที่มีความรับผิดชอบ 100%<g]
 , ,94,"[g>Working towards 100% responsibly sourced green coffee, tea and palm oil<g]",[g>การทำงานเพื่อมุ่งสู่การใช้กาแฟเขียว ชา และน้ำมันปาล์มจากแหล่งที่มีความรับผิดชอบ 100 %<g]
"[g>Directly reaching 500,0000 smallholder farmers (since 2015)<g]",,95,"[g>Directly reaching 500,0000 smallholder farmers (since 2015)<g]","[g>เข้าถึงเกษตรกรรายย่อย 500,000 รายโดยตรง (ตั้งแต่ปี 2015)<g]"
[g>Zero waste-to-landfill at all 43 of our manufacturing facilities<g],,94,[g>Zero waste-to-landfill at all 43 of our manufacturing facilities<g],[g>ขยะเป็นศูนย์สู่หลุมฝังกลบที่โรงงานผลิตทั้ง 43 แห่งของเรา<g]
 , ,94,[g>Zero waste-to-landfill at all 43 of our manufacturing facilities<g],[g>การฝังกลบของเสียเป็น 0 ที่โรงงานผลิตทั้ง 43 แห่งของเรา<g]
[g>40% women in leadership positions<g],,95,[g>40% women in leadership positions<g],[g>ผู้หญิง 40% ในตำแหน่งผู้นำ<g]
[g>100% of our manufacturing sites to be food safety quality certified<g],,95,[g>100% of our manufacturing sites to be food safety quality certified<g],[g>โรงงานผลิตของเรา 100% ได้รับการรับรองคุณภาพความปลอดภัยด้านอาหาร<g]
 , ,76,[g>40% women in leadership positions 100% of our manufacturing sites to be food safety quality certified<g],[g>ผู้หญิง 40% ในตำแหน่งผู้นำ โรงงานผลิตของเรา 100% ได้รับการรับรองคุณภาพความปลอดภัยด้านอาหาร<g]
[g>Click to reveal our targets for 2030:<g],,95,[g>Click to reveal our targets for 2025:<g],[g>คลิกเพื่อดูเป้าหมายของเราสำหรับปี 2025:<g]
[g>Reduction of absolute scope 1 & 2 GHG emissions (vs 2020) by 25%<g],,95,[g>Reduction of absolute scope 1 & 2 GHG emissions (vs 2020) by 25%<g],[g>ลดการปล่อยก๊าซเรือนกระจกขอบเขตที่ 1 และ 2 ลง 25% (เทียบกับปี 2020)<g]
 , ,94,[g>Reduction of absolute scope 3 GHG emissions (vs 2020) by 12.5%<g],[g>ลดการปล่อยก๊าซเรือนกระจกขอบเขตที่ 3 ลง 12.5% (เทียบกับปี 2020)<g]
[g>Reduction of absolute scope 3 GHG emissions (vs 2020) by 12.5%<g],,95,[g>Reduction of absolute scope 3 GHG emissions (vs 2020) by 12.5%<g],[g>ลดการปล่อยก๊าซเรือนกระจกขอบเขตที่ 3 ลง 12.5% (เทียบกับปี 2020)<g]
 , ,94,[g>Reduction of absolute scope 1 & 2 GHG emissions (vs 2020) by 25%<g],[g>ลดการปล่อยก๊าซเรือนกระจกขอบเขตที่ 1 และ 2 ลง 25% (เทียบกับปี 2020)<g]
"[g>Working towards 100% responsibly sourced green coffee, tea and palm oil<g]",,94,"[g>Working towards 100% responsibly sourced green coffee, tea and palm oil<g]",[g>มุ่งสู่การจัดหากาแฟเขียว ชา และน้ำมันปาล์มที่มาจากแหล่งที่มีความรับผิดชอบ 100%<g]
 , ,94,"[g>Working towards 100% responsibly sourced green coffee, tea and palm oil<g]",[g>การทำงานเพื่อมุ่งสู่การใช้กาแฟเขียว ชา และน้ำมันปาล์มจากแหล่งที่มีความรับผิดชอบ 100 %<g]
"[g>Directly reaching 500,0000 smallholder farmers (since 2015)<g]",,95,"[g>Directly reaching 500,0000 smallholder farmers (since 2015)<g]","[g>เข้าถึงเกษตรกรรายย่อย 500,000 รายโดยตรง (ตั้งแต่ปี 2015)<g]"
[g>Zero waste-to-landfill at all 43 of our manufacturing facilities<g],,94,[g>Zero waste-to-landfill at all 43 of our manufacturing facilities<g],[g>ขยะเป็นศูนย์สู่หลุมฝังกลบที่โรงงานผลิตทั้ง 43 แห่งของเรา<g]
 , ,94,[g>Zero waste-to-landfill at all 43 of our manufacturing facilities<g],[g>การฝังกลบของเสียเป็น 0 ที่โรงงานผลิตทั้ง 43 แห่งของเรา<g]
[g>40% women in leadership positions 100% of our manufacturing sites to be food safety quality certified<g],,95,[g>40% women in leadership positions 100% of our manufacturing sites to be food safety quality certified<g],[g>ผู้หญิง 40% ในตำแหน่งผู้นำ โรงงานผลิตของเรา 100% ได้รับการรับรองคุณภาพความปลอดภัยด้านอาหาร<g]
 , ,76,[g>100% of our manufacturing sites to be food safety quality certified<g],[g>โรงงานผลิตของเรา 100% ได้รับการรับรองคุณภาพความปลอดภัยด้านอาหาร<g]
[x][x]Responsible Sourcing Strategy for Coffee[x][x],,95,[x][x]Responsible Sourcing Strategy for Coffee[x][x],[x][x]กลยุทธ์การจัดหาอย่างรับผิดชอบสำหรับกาแฟ[x][x]
"[g>Since we know that verification cannot be relied fully to deliver on our Responsible Sourcing targets, we have developed a distinct, Innovative, and Inclusive Assess, Address and Progress Approach.<g]",,95,"[g>Since we know that verification cannot be relied fully to deliver on our Responsible Sourcing targets, we have developed a distinct, Innovative, and Inclusive Assess, Address and Progress Approach.<g]",[g>เนื่องจากเรารู้ว่าการตรวจสอบไม่สามารถพึ่งพาได้อย่างเต็มที่เพื่อให้บรรลุเป้าหมายการจัดหาอย่างรับผิดชอบของเรา เราจึงได้พัฒนาแนวทางการประเมิน แก้ไข และความก้าวหน้าที่โดดเด่น เป็นนวัตกรรม และครอบคลุม<g]
[g>Click the tiles to reveal the different elements within the approach:<g],,95,[g>Click the tiles to reveal the different elements within the approach:<g],[g>คลิกที่ไทล์เพื่อดูองค์ประกอบต่างๆ ภายในแนวทาง:<g]
[x][x]Assess:[x][x],,95,[x][x]Assess:[x][x],[x][x]ประเมิน:[x][x]
"[g>3rd party verification for all coffee, free for the farmers since 2019, with Enveritas, first starts with an assessment of agricultural practices and socio-environmental issues in coffee farms.<g]",,94,"[g>3[g>rd<g] party verification for all coffee, free for the farmers since 2019, with Enveritas, first starts with an assessment of agricultural practices and socio-environmental issues in coffee farms.<g]",[g>การตรวจสอบโดยบุคคลที่ [g>3<g] สำหรับกาแฟทั้งหมด ฟรีสำหรับเกษตรกรตั้งแต่ปี 2019 กับ Enveritas เริ่มต้นด้วยการประเมินแนวปฏิบัติทางการเกษตรและประเด็นทางสังคมและสิ่งแวดล้อมในฟาร์มกาแฟ<g]
"[g>For example, in 2022 Enveritas assessed 372,377 MT of green coffee deliveries from 72 suppliers.<g]",,95,"[g>For example, in 2022 Enveritas assessed 372,377 MT of green coffee deliveries from 72 suppliers.<g]","[g>ตัวอย่างเช่น ในปี 2022 Enveritas ได้ประเมินการส่งมอบกาแฟเขียว 372,377 ตันจากซัพพลายเออร์ 72 ราย<g]"
[g>Enveritas methodology draws upon the responses from in-person surveys and observations to evaluate compliance with our Responsible Sourcing Principles.<g],,95,[g>Enveritas methodology draws upon the responses from in-person surveys and observations to evaluate compliance with our Responsible Sourcing Principles.<g],[g>วิธีการของ Enveritas อาศัยการตอบสนองจากการสำรวจแบบตัวต่อตัวและการสังเกตการณ์เพื่อประเมินการปฏิบัติตามหลักการจัดหาอย่างรับผิดชอบของเรา<g]
"[g>In 2022, Enveritas conducted 30,457 surveys across 9 origin countries.<g]",,95,"[g>In 2022, Enveritas conducted 30,457 surveys across 9 origin countries.<g]","[g>ในปี 2022 Enveritas ได้ดำเนินการสำรวจ 30,457 ครั้งใน 9 ประเทศต้นทาง<g]"
[g>More on the Enveritas approach later!<g],,95,[g>More on the Enveritas approach later!<g],[g>ข้อมูลเพิ่มเติมเกี่ยวกับแนวทางของ Enveritas ในภายหลัง!<g]
[g>Address:<g],,95,[g>Address:<g],[g>แก้ไข:<g]
[g>Enveritas' assessment is used to indicate the number of farmers JDE Peet's need to support through Common Grounds farmer projects.<g],,95,[g>Enveritas' assessment is used to indicate the number of farmers JDE Peet's need to support through Common Grounds farmer projects.<g],[g>การประเมินของ Enveritas ใช้เพื่อระบุจำนวนเกษตรกรที่ JDE Peet's ต้องสนับสนุนผ่านโครงการเกษตรกร Common Grounds<g]
"[g>In 2022, in order to claim our volumes as Responsibly Sourced under Enveritas' verification, we needed to support 87,244.<g]",,95,"[g>In 2022, in order to claim our volumes as Responsibly Sourced under Enveritas' verification, we needed to support 87,244.<g]","[g>ในปี 2022 เพื่ออ้างสิทธิ์ปริมาณของเราว่าจัดหาอย่างรับผิดชอบภายใต้การตรวจสอบของ Enveritas เราจำเป็นต้องสนับสนุน 87,244 ราย<g]"
"[g>In reality, we have supported 211,079 farmers in 2023, through 63+ active projects globally.<g]",,95,"[g>In reality, we have supported 211,079 farmers in 2023, through 63+ active projects globally.<g]","[g>ในความเป็นจริง เราได้สนับสนุนเกษตรกร 211,079 รายในปี 2023 ผ่านโครงการที่ใช้งานอยู่มากกว่า 63 โครงการทั่วโลก<g]"
[g>Some of these projects include:<g],,95,[g>Some of these projects include:<g],[g>โครงการเหล่านี้บางส่วนรวมถึง:<g]
[g>Child Labour Prevention Project Coffee Sector in Honduras<g],,95,[g>Child Labour Prevention Project Coffee Sector in Honduras<g],[g>โครงการป้องกันแรงงานเด็กในภาคกาแฟในฮอนดูรัส<g]
[g>Regrow Yirga in Ethiopia to enhance sustainable competitiveness of Ethiopian coffee sector<g],,95,[g>Regrow Yirga in Ethiopia to enhance sustainable competitiveness of Ethiopian coffee sector<g],[g>Regrow Yirga ในเอธิโอเปียเพื่อเพิ่มขีดความสามารถในการแข่งขันอย่างยั่งยืนของภาคกาแฟเอธิโอเปีย<g]
[g>Boosting Production of Low Carbon Coffee in Indonesia<g],,95,[g>Boosting Production of Low Carbon Coffee in Indonesia<g],[g>เพิ่มการผลิตกาแฟคาร์บอนต่ำในอินโดนีเซีย<g]
[g>Progress:<g],,95,[g>[x]Progress:<g],[g>[x]ความคืบหน้า:<g]
